ProdId,QuantityAVG
4178,187.553191
1457,159.027777
2585,150.000000
3000,137.142857
6959,125.000000
4187,122.916666
4096,109.523809
1642,101.741935
6087,100.000000
4225,97.029702
3248,94.705882
4340,88.000000
275,76.831578
6315,64.285714
4885,61.666666
2797,61.062500
321,60.935064
3841,59.074074
1082,55.666666
4697,54.047619
3713,54.010416
4183,53.333333
1246,51.923076
1837,51.552631
5477,50.777777
1558,50.000000
7619,50.000000
166,48.615384
5636,48.095238
2821,47.054794
2153,45.363636
1559,45.216374
5749,44.166666
5204,44.150943
6936,43.750000
5021,42.352941
4292,41.944444
5133,41.353846
5870,41.000000
422,40.400000
283,39.411764
6759,38.875000
7215,37.100000
2701,36.488549
6924,35.714285
1625,34.687500
1862,34.253086
425,34.000000
5689,33.000000
3846,32.966666
5403,32.533333
4607,31.463414
4961,31.150684
3665,30.857142
165,30.333333
610,30.188679
1391,30.156716
929,30.020408
5977,30.000000
7323,30.000000
5374,29.800000
3006,29.358974
1747,29.104166
6438,29.000000
4816,28.776000
3532,28.627450
4592,28.461538
3663,27.878787
1116,27.605633
3703,27.583333
4766,27.361111
4188,27.245614
1051,27.214285
2824,25.714285
1974,25.500000
1684,24.990000
4888,24.623655
274,23.809523
263,23.480000
6847,23.461538
2008,23.380952
7327,23.333333
1681,23.321739
353,23.312500
5178,22.888888
4949,22.798245
4960,22.720930
1139,22.454545
5598,22.000000
5532,21.666666
2120,21.395348
6837,21.176470
5201,20.857142
1563,20.727272
2059,20.666666
7272,20.000000
6882,20.000000
5218,20.000000
6428,20.000000
319,19.991150
5320,19.923076
523,19.888888
1583,19.807228
4196,19.788235
5131,19.636363
4605,19.294117
3960,19.180232
6077,18.771929
2811,18.651612
2568,18.461538
2629,17.857142
1569,17.750000
5507,17.600000
1737,17.555555
3901,17.500000
1096,17.258064
2292,17.118644
288,16.944444
271,16.849315
3770,16.821052
4144,16.666666
7448,16.666666
1574,16.551724
3662,16.451612
6590,16.444444
4341,16.132075
4936,16.131578
3802,15.934426
2296,15.714285
1567,15.642857
5875,15.600000
4934,15.500000
1170,15.454545
6297,15.428571
1007,15.224806
1568,15.128205
4777,15.000000
7178,15.000000
1029,15.000000
5623,15.000000
3594,14.983606
4717,14.972375
1481,14.818181
1486,14.814814
4884,14.812500
3685,14.757009
1578,14.583333
6858,14.583333
1565,14.558823
5629,14.303030
4857,14.267716
2948,14.193548
1156,14.157894
2483,14.000000
6029,14.000000
171,13.865384
334,13.838383
4969,13.752808
1490,13.750000
4193,13.722222
5421,13.714285
6005,13.703703
1575,13.657142
633,13.571428
3001,13.264705
3889,13.241379
4667,13.200000
4815,13.111111
120,13.076923
1037,13.025210
7152,13.000000
1322,13.000000
2135,12.980769
2572,12.916666
4973,12.663043
3066,12.526315
1055,12.500000
4312,12.492063
2574,12.393939
3221,12.390243
5238,12.380952
3865,12.324675
118,12.266666
6209,12.173913
308,12.137931
7189,12.071428
3837,12.000000
2606,12.000000
6807,12.000000
6382,11.981566
826,11.918367
4808,11.756578
2044,11.659574
2039,11.636363
1052,11.583333
4570,11.578947
2713,11.578947
1282,11.428571
1166,11.384615
612,11.373056
1564,11.347222
1458,11.305555
2235,11.298507
522,11.283018
3292,11.250000
6276,11.250000
2121,11.212121
1954,11.200000
1582,11.144736
2025,11.120000
2137,11.111111
2991,11.072727
2123,11.052631
3446,11.032258
1847,11.000000
524,10.971428
1996,10.869565
1197,10.857142
5594,10.833333
1283,10.769230
811,10.666666
1368,10.666666
3979,10.651785
440,10.526315
3536,10.478260
1753,10.476190
2814,10.460317
2808,10.420289
1472,10.408163
6751,10.300000
5642,10.285714
5920,10.214285
1177,10.189189
3614,10.129629
854,10.092307
6471,10.000000
4098,10.000000
6636,10.000000
3430,10.000000
1633,10.000000
2282,10.000000
7457,10.000000
7308,10.000000
7632,10.000000
4323,10.000000
6912,10.000000
7307,10.000000
1364,10.000000
7376,10.000000
993,10.000000
4757,10.000000
7625,10.000000
7588,10.000000
2650,10.000000
5215,9.833333
3290,9.781250
1032,9.750000
4211,9.734177
2176,9.711111
7035,9.684210
2271,9.663865
6687,9.555555
1571,9.513513
1888,9.427586
6652,9.391304
4915,9.354330
1685,9.352941
1581,9.257812
1057,9.250000
996,9.177419
5420,9.090909
2895,9.067264
1694,9.047619
888,9.034013
7142,9.000000
7624,9.000000
6201,9.000000
3299,8.941176
3309,8.933333
1577,8.882352
4869,8.750000
6107,8.686440
2728,8.675675
2429,8.674418
2796,8.670212
1327,8.611111
7537,8.571428
3111,8.544117
1262,8.532467
6474,8.500000
1527,8.500000
3660,8.493333
602,8.461538
5020,8.461538
5259,8.461538
3772,8.447513
266,8.407114
2216,8.405940
3024,8.346153
7693,8.333333
2604,8.333333
4783,8.272727
2430,8.216867
7293,8.200000
2818,8.071428
258,8.051020
7595,8.000000
3297,7.978021
310,7.973544
4097,7.968553
3002,7.966666
5016,7.952380
6870,7.944444
1044,7.931818
2635,7.905660
856,7.833333
3301,7.812500
7301,7.777777
5765,7.760000
2047,7.700000
853,7.700000
4065,7.684210
5974,7.666666
1840,7.593750
6600,7.571428
1080,7.569230
1573,7.528089
459,7.505494
539,7.500000
